Item,URL,Image
I41 CJMCU CP2102 USB to UART TTL Module 6Pin Serial Converter UART STC Replace FT232,https://www.aliexpress.com/item/32948111059.html,https://ae01.alicdn.com/kf/HTB1KxbhaRGw3KVjSZFwq6zQ2FXaw/I41-CJMCU-CP2102-USB-to-UART-TTL-Module-6Pin-Serial-Converter-UART-STC-Replace-FT232.jpg
Slide Type Lateral Switch Module 8 Bit 2.54mm Position Way DIP Red Pitch Toggle Switch Red Snap Switch,https://www.aliexpress.com/item/32976319721.html,https://ae01.alicdn.com/kf/HTB1OgaTbXzsK1Rjy1Xbq6xOaFXaI/5pcs-lot-Slide-Type-Lateral-Switch-Module-2-3-4-5-6-8-Bit-2-54mm.jpg_640x640.jpg
